epoch,train_acc,train_loss,clean_val_acc,shifted_val_acc,external_val_acc,selection_score
1,0.803759765625,1.2068514516577125,1.0,0.9995689655172414,0.9928571428571429,0.9991564039408867
2,0.989453125,0.40067872377112507,1.0,0.9994252873563219,0.9970238095238095,0.9995299671592774
3,0.992578125,0.3839239442721009,1.0,0.9997126436781609,1.0,0.9999137931034482
4,0.994140625,0.37684517335146667,1.0,0.9997126436781609,1.0,0.9999137931034482
